2018-07-27 12:03:20,096 level-ERROR    yangyang is logging and permission is [u'root', u'update_front', u'ywupdate', u'ywtools']
2018-07-27 12:03:20,289 level-ERROR    AllPlatMsg is [{'gameAlias': u'bxcq', 'platformId': 2, 'platformAlias': u'qq', 'gameId': 27, 'configId': 1, 'platformName': u'qq'}, {'gameAlias': u'bxcq', 'platformId': 14, 'platformAlias': u'tencent', 'gameId': 27, 'configId': 2, 'platformName': u'tencent'}, {'gameAlias': u'bxcq', 'platformId': 15, 'platformAlias': u'108qu_rxsj', 'gameId': 27, 'configId': 3, 'platformName': u'108qu_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 16, 'platformAlias': u'bengwan_rxsj', 'gameId': 27, 'configId': 4, 'platformName': u'bengwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 17, 'platformAlias': u'354yx_rxsj', 'gameId': 27, 'configId': 5, 'platformName': u'354yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 18, 'platformAlias': u'6344_rxsj', 'gameId': 27, 'configId': 6, 'platformName': u'6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 19, 'platformAlias': u'mayi_rxsj', 'gameId': 27, 'configId': 7, 'platformName': u'mayi_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 21, 'platformAlias': u'new6344_rxsj', 'gameId': 27, 'configId': 9, 'platformName': u'new6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 26, 'platformAlias': u'306yx_rxsj', 'gameId': 27, 'configId': 26, 'platformName': u'306yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 27, 'platformAlias': u'uc699_rxsj', 'gameId': 27, 'configId': 27, 'platformName': u'uc699_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 29, 'platformAlias': u'aiyx666_rxsj', 'gameId': 27, 'configId': 29, 'platformName': u'aiyx666_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 31, 'platformAlias': u'511wan_rxsj', 'gameId': 27, 'configId': 31, 'platformName': u'511wan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 32, 'platformAlias': u'7u6u_rxsj', 'gameId': 27, 'configId': 32, 'platformName': u'7u6u_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 33, 'platformAlias': u'5vwan_rxsj', 'gameId': 27, 'configId': 33, 'platformName': u'5vwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 34, 'platformAlias': u'9hou_rxsj', 'gameId': 27, 'configId': 34, 'platformName': u'9hou_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 35, 'platformAlias': u'nbengwan_rxsj', 'gameId': 27, 'configId': 35, 'platformName': u'nbengwan_rxsj'}]
2018-07-27 15:05:47,153 level-ERROR    zhongtao is logging and permission is [u'resetdate', u'sqlcommand', u'checkversion', u'gmcommand', u'closeserver', u'openserver', u'servermanager', u'displayresetversion', u'checkserverstat', u'bootgame', u'update_front', u'update_javascripts', u'update_java', u'ywupdate', u'ywtools', u'root']
2018-07-27 15:05:47,336 level-ERROR    AllPlatMsg is [{'gameAlias': u'bxcq', 'platformId': 2, 'platformAlias': u'qq', 'gameId': 27, 'configId': 1, 'platformName': u'qq'}, {'gameAlias': u'bxcq', 'platformId': 14, 'platformAlias': u'tencent', 'gameId': 27, 'configId': 2, 'platformName': u'tencent'}, {'gameAlias': u'bxcq', 'platformId': 15, 'platformAlias': u'108qu_rxsj', 'gameId': 27, 'configId': 3, 'platformName': u'108qu_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 16, 'platformAlias': u'bengwan_rxsj', 'gameId': 27, 'configId': 4, 'platformName': u'bengwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 17, 'platformAlias': u'354yx_rxsj', 'gameId': 27, 'configId': 5, 'platformName': u'354yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 18, 'platformAlias': u'6344_rxsj', 'gameId': 27, 'configId': 6, 'platformName': u'6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 19, 'platformAlias': u'mayi_rxsj', 'gameId': 27, 'configId': 7, 'platformName': u'mayi_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 21, 'platformAlias': u'new6344_rxsj', 'gameId': 27, 'configId': 9, 'platformName': u'new6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 26, 'platformAlias': u'306yx_rxsj', 'gameId': 27, 'configId': 26, 'platformName': u'306yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 27, 'platformAlias': u'uc699_rxsj', 'gameId': 27, 'configId': 27, 'platformName': u'uc699_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 29, 'platformAlias': u'aiyx666_rxsj', 'gameId': 27, 'configId': 29, 'platformName': u'aiyx666_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 31, 'platformAlias': u'511wan_rxsj', 'gameId': 27, 'configId': 31, 'platformName': u'511wan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 32, 'platformAlias': u'7u6u_rxsj', 'gameId': 27, 'configId': 32, 'platformName': u'7u6u_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 33, 'platformAlias': u'5vwan_rxsj', 'gameId': 27, 'configId': 33, 'platformName': u'5vwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 34, 'platformAlias': u'9hou_rxsj', 'gameId': 27, 'configId': 34, 'platformName': u'9hou_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 35, 'platformAlias': u'nbengwan_rxsj', 'gameId': 27, 'configId': 35, 'platformName': u'nbengwan_rxsj'}]
2018-07-27 15:05:49,734 level-ERROR    zhongtao is logging and permission is [u'resetdate', u'sqlcommand', u'checkversion', u'gmcommand', u'closeserver', u'openserver', u'servermanager', u'displayresetversion', u'checkserverstat', u'bootgame', u'update_front', u'update_javascripts', u'update_java', u'ywupdate', u'ywtools', u'root']
2018-07-27 15:05:49,859 level-ERROR    AllPlatMsg is [{'gameAlias': u'bxcq', 'platformId': 2, 'platformAlias': u'qq', 'gameId': 27, 'configId': 1, 'platformName': u'qq'}, {'gameAlias': u'bxcq', 'platformId': 14, 'platformAlias': u'tencent', 'gameId': 27, 'configId': 2, 'platformName': u'tencent'}, {'gameAlias': u'bxcq', 'platformId': 15, 'platformAlias': u'108qu_rxsj', 'gameId': 27, 'configId': 3, 'platformName': u'108qu_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 16, 'platformAlias': u'bengwan_rxsj', 'gameId': 27, 'configId': 4, 'platformName': u'bengwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 17, 'platformAlias': u'354yx_rxsj', 'gameId': 27, 'configId': 5, 'platformName': u'354yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 18, 'platformAlias': u'6344_rxsj', 'gameId': 27, 'configId': 6, 'platformName': u'6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 19, 'platformAlias': u'mayi_rxsj', 'gameId': 27, 'configId': 7, 'platformName': u'mayi_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 21, 'platformAlias': u'new6344_rxsj', 'gameId': 27, 'configId': 9, 'platformName': u'new6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 26, 'platformAlias': u'306yx_rxsj', 'gameId': 27, 'configId': 26, 'platformName': u'306yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 27, 'platformAlias': u'uc699_rxsj', 'gameId': 27, 'configId': 27, 'platformName': u'uc699_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 29, 'platformAlias': u'aiyx666_rxsj', 'gameId': 27, 'configId': 29, 'platformName': u'aiyx666_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 31, 'platformAlias': u'511wan_rxsj', 'gameId': 27, 'configId': 31, 'platformName': u'511wan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 32, 'platformAlias': u'7u6u_rxsj', 'gameId': 27, 'configId': 32, 'platformName': u'7u6u_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 33, 'platformAlias': u'5vwan_rxsj', 'gameId': 27, 'configId': 33, 'platformName': u'5vwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 34, 'platformAlias': u'9hou_rxsj', 'gameId': 27, 'configId': 34, 'platformName': u'9hou_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 35, 'platformAlias': u'nbengwan_rxsj', 'gameId': 27, 'configId': 35, 'platformName': u'nbengwan_rxsj'}]
2018-07-27 15:05:53,425 level-ERROR    zhongtao is logging and permission is [u'resetdate', u'sqlcommand', u'checkversion', u'gmcommand', u'closeserver', u'openserver', u'servermanager', u'displayresetversion', u'checkserverstat', u'bootgame', u'update_front', u'update_javascripts', u'update_java', u'ywupdate', u'ywtools', u'root']
2018-07-27 15:05:53,609 level-ERROR    AllPlatMsg is [{'gameAlias': u'bxcq', 'platformId': 2, 'platformAlias': u'qq', 'gameId': 27, 'configId': 1, 'platformName': u'qq'}, {'gameAlias': u'bxcq', 'platformId': 14, 'platformAlias': u'tencent', 'gameId': 27, 'configId': 2, 'platformName': u'tencent'}, {'gameAlias': u'bxcq', 'platformId': 15, 'platformAlias': u'108qu_rxsj', 'gameId': 27, 'configId': 3, 'platformName': u'108qu_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 16, 'platformAlias': u'bengwan_rxsj', 'gameId': 27, 'configId': 4, 'platformName': u'bengwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 17, 'platformAlias': u'354yx_rxsj', 'gameId': 27, 'configId': 5, 'platformName': u'354yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 18, 'platformAlias': u'6344_rxsj', 'gameId': 27, 'configId': 6, 'platformName': u'6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 19, 'platformAlias': u'mayi_rxsj', 'gameId': 27, 'configId': 7, 'platformName': u'mayi_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 21, 'platformAlias': u'new6344_rxsj', 'gameId': 27, 'configId': 9, 'platformName': u'new6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 26, 'platformAlias': u'306yx_rxsj', 'gameId': 27, 'configId': 26, 'platformName': u'306yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 27, 'platformAlias': u'uc699_rxsj', 'gameId': 27, 'configId': 27, 'platformName': u'uc699_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 29, 'platformAlias': u'aiyx666_rxsj', 'gameId': 27, 'configId': 29, 'platformName': u'aiyx666_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 31, 'platformAlias': u'511wan_rxsj', 'gameId': 27, 'configId': 31, 'platformName': u'511wan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 32, 'platformAlias': u'7u6u_rxsj', 'gameId': 27, 'configId': 32, 'platformName': u'7u6u_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 33, 'platformAlias': u'5vwan_rxsj', 'gameId': 27, 'configId': 33, 'platformName': u'5vwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 34, 'platformAlias': u'9hou_rxsj', 'gameId': 27, 'configId': 34, 'platformName': u'9hou_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 35, 'platformAlias': u'nbengwan_rxsj', 'gameId': 27, 'configId': 35, 'platformName': u'nbengwan_rxsj'}]
2018-07-27 15:05:53,752 level-ERROR    zhongtao is logging and permission is [u'resetdate', u'sqlcommand', u'checkversion', u'gmcommand', u'closeserver', u'openserver', u'servermanager', u'displayresetversion', u'checkserverstat', u'bootgame', u'update_front', u'update_javascripts', u'update_java', u'ywupdate', u'ywtools', u'root']
2018-07-27 15:05:54,031 level-ERROR    zhongtao is logging and permission is [u'resetdate', u'sqlcommand', u'checkversion', u'gmcommand', u'closeserver', u'openserver', u'servermanager', u'displayresetversion', u'checkserverstat', u'bootgame', u'update_front', u'update_javascripts', u'update_java', u'ywupdate', u'ywtools', u'root']
2018-07-27 15:05:54,353 level-ERROR    AllPlatMsg is [{'gameAlias': u'bxcq', 'platformId': 2, 'platformAlias': u'qq', 'gameId': 27, 'configId': 1, 'platformName': u'qq'}, {'gameAlias': u'bxcq', 'platformId': 14, 'platformAlias': u'tencent', 'gameId': 27, 'configId': 2, 'platformName': u'tencent'}, {'gameAlias': u'bxcq', 'platformId': 15, 'platformAlias': u'108qu_rxsj', 'gameId': 27, 'configId': 3, 'platformName': u'108qu_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 16, 'platformAlias': u'bengwan_rxsj', 'gameId': 27, 'configId': 4, 'platformName': u'bengwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 17, 'platformAlias': u'354yx_rxsj', 'gameId': 27, 'configId': 5, 'platformName': u'354yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 18, 'platformAlias': u'6344_rxsj', 'gameId': 27, 'configId': 6, 'platformName': u'6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 19, 'platformAlias': u'mayi_rxsj', 'gameId': 27, 'configId': 7, 'platformName': u'mayi_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 21, 'platformAlias': u'new6344_rxsj', 'gameId': 27, 'configId': 9, 'platformName': u'new6344_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 26, 'platformAlias': u'306yx_rxsj', 'gameId': 27, 'configId': 26, 'platformName': u'306yx_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 27, 'platformAlias': u'uc699_rxsj', 'gameId': 27, 'configId': 27, 'platformName': u'uc699_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 29, 'platformAlias': u'aiyx666_rxsj', 'gameId': 27, 'configId': 29, 'platformName': u'aiyx666_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 31, 'platformAlias': u'511wan_rxsj', 'gameId': 27, 'configId': 31, 'platformName': u'511wan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 32, 'platformAlias': u'7u6u_rxsj', 'gameId': 27, 'configId': 32, 'platformName': u'7u6u_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 33, 'platformAlias': u'5vwan_rxsj', 'gameId': 27, 'configId': 33, 'platformName': u'5vwan_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 34, 'platformAlias': u'9hou_rxsj', 'gameId': 27, 'configId': 34, 'platformName': u'9hou_rxsj'}, {'gameAlias': u'bxcq', 'platformId': 35, 'platformAlias': u'nbengwan_rxsj', 'gameId': 27, 'configId': 35, 'platformName': u'nbengwan_rxsj'}]
2018-07-27 15:05:54,356 level-ERROR    zhongtao is logging and permission is [u'resetdate', u'sqlcommand', u'checkversion', u'gmcommand', u'closeserver', u'openserver', u'servermanager', u'displayresetversion', u'checkserverstat', u'bootgame', u'update_front', u'update_javascripts', u'update_java', u'ywupdate', u'ywtools', u'root']
